location,sequence,total_boxes,avg_fish_per_frame,max_fish_per_frame
elwha,Elwha_2018_OM_ARIS_2018_07_09_2018-07-09_190000_490_941,47,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_09_2018-07-09_200000_1086_1537,19,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_09_2018-07-09_210000_5295_5746,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_09_2018-07-09_220000_2917_3368,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_09_2018-07-09_220000_8016_8467,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_09_2018-07-09_230000_2078_2529,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_09_2018-07-09_230000_4999_5450,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_000000_4292_4743,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_000000_6126_6577,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_000000_753_1204,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_010000_7180_7631,30,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_040000_6750_7201,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_050000_6873_7324,43,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_060000_4681_5132,19,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_080000_1546_1997,34,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_090000_0_354,41,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_100000_2628_3079,5,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_170000_6155_6606,23,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_180000_8357_8808,50,1.0,1
elwha,Elwha_2018_OM_ARIS_2018_07_10_2018-07-10_190000_3442_3893,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_060006_532_732,67,1.34,2
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_070005_1185_1385,70,1.4,2
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_080005_689_889,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_090006_2374_2574,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_100005_3472_3672,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_110005_1995_2195,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_120005_0_119,18,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_120005_246_446,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_130006_314_514,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_140006_1206_1406,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_150005_0_170,96,1.92,3
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_160005_0_124,142,2.84,4
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_170005_13_213,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_190005_107_307,99,1.98,2
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_200005_0_180,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_210006_1507_1707,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_220005_1143_1343,81,1.62,2
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_220005_680_880,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum1_Set1_CH_2018-08-16_230005_1116_1316,50,1.0,1
kenai-channel,2018-08-16-JD228_Channel_Stratum2_Set1_CH_2018-08-16_071004_3401_3601,109,2.18,3
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum1_Set1_RO_2018-05-26_050004_3642_3842,50,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum1_Set1_RO_2018-05-26_100004_3194_3394,15,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum1_Set1_RO_2018-05-26_190004_1078_1278,28,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum1_Set1_RO_2018-05-26_210004_3429_3629,37,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum1_Set1_RO_2018-05-26_230004_1276_1476,50,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_001003_2544_2744,51,1.02,2
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_011004_1184_1384,50,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_021004_3048_3250,94,1.88,2
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_051004_1162_1362,50,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_051004_2405_2605,95,1.9,2
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_071004_3050_3250,50,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_111004_4580_4780,45,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_131003_1019_1219,50,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_131003_2507_2707,48,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_151004_1560_1760,50,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_161004_3512_3712,50,1.0,1
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_171003_4597_4797,67,1.34,2
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_181004_2938_3138,99,1.98,2
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_191004_3994_4218,126,2.52,5
kenai-rightbank,2018-05-26-JD146_RightFar_Stratum2_Set1_RO_2018-05-26_201003_2041_2241,99,1.98,2
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_080004_285_885,50,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_080004_4609_5209,50,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_100004_1283_1483,50,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_100004_3966_4166,50,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_120004_2082_2682,21,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_120004_5281_5611,50,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_150004_1689_2289,41,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_160004_1500_2100,50,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_170004_3368_3968,178,3.56,6
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_170004_975_1575,56,1.12,2
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_180004_1253_1488,156,3.12,5
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_200004_1115_1322,109,2.18,3
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_200004_3391_3591,118,2.36,4
kenai-train,2018-05-26-JD146_LeftFar_Stratum1_Set1_LO_2018-05-26_200004_3744_3978,103,2.06,3
kenai-train,2018-05-26-JD146_LeftFar_Stratum2_Set1_LO_2018-05-26_001004_841_1041,50,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum2_Set1_LO_2018-05-26_051003_3050_3250,18,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum2_Set1_LO_2018-05-26_071003_318_518,50,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum2_Set1_LO_2018-05-26_071003_3630_3830,50,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum2_Set1_LO_2018-05-26_081003_3749_3949,33,1.0,1
kenai-train,2018-05-26-JD146_LeftFar_Stratum2_Set1_LO_2018-05-26_091003_2503_2703,22,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_020004_3240_3840,50,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_030004_1934_2534,50,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_050004_319_919,53,1.06,2
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_070004_651_1251,44,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_100004_2931_3531,129,2.58,3
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_110004_3942_4312,98,1.96,2
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_120004_2044_2644,50,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_130004_4908_5508,50,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_140004_408_1008,43,1.0238095238095237,2
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_140004_4995_5594,218,4.36,7
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_150004_4847_5447,50,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_170004_1169_1769,77,1.54,2
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_170004_2801_3401,37,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_180004_3404_4004,37,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_200004_0_330,46,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_210004_2118_2718,50,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_220004_1434_2034,50,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum1_Set1_LO_2018-06-03_230004_1736_2336,50,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum2_Set1_LO_2018-06-03_001003_2789_2989,50,1.0,1
kenai-val,2018-06-03-JD154_LeftFar_Stratum2_Set1_LO_2018-06-03_031003_1599_1799,50,1.0,1
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-02_211000_3600_3900,577,11.54,14
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-02_211000_3900_4200,488,9.76,15
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-02_211000_6000_6300,747,14.94,18
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-02_211000_900_1200,306,6.12,8
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-03_121000_5400_5700,463,9.26,12
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-12_121000_1800_2100,282,5.64,8
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-12_121000_2100_2400,353,7.06,9
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-12_121000_2400_2700,262,5.24,7
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-12_121000_2700_3000,429,8.58,10
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-12_121000_3300_3600,605,12.1,15
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-12_121000_4500_4800,191,3.82,6
nushagak,RB_Nusagak_Sonar_Files_2018_RB_2018-07-12_121000_5100_5400,737,14.74,17
